City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Biltine,TD,83.84,Clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
468,Katsuura,JP,76.37,Clear,35.1333,140.3,Katsuura Hotel Mikazuki
472,Meulaboh,ID,81.7,Clouds,4.1363,96.1285,Kost Pria
473,Dom Pedro,BR,76.3,Clear,-4.4833,-44.45,Pousada Santa Amália
474,Honiara,SB,84.16,Rain,-9.4333,159.95,Heritage Park Hotel
477,Quatre Cocos,MU,70.09,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
478,Buala,SB,83.77,Rain,-8.145,159.5921,Maringe Lagoon Lodge
479,Sibolga,ID,84.47,Rain,1.7427,98.7792,Hotel Syariah CN Darussalam
482,Russell,US,73.0,Clear,32.3502,-85.1999,Macs
483,Awjilah,LY,75.85,Clear,29.1081,21.2869,المنزل
484,Shimoda,JP,77.36,Clouds,34.6667,138.95,Shimoda Tokyu Hotel
490,Deogarh,IN,82.9,Clouds,21.5333,84.7333,Amit Henej House
497,Razole,IN,82.29,Clouds,16.4833,81.8333,Sterling Palavelli Godavari
499,Mitu,CO,72.41,Clouds,1.1983,-70.1733,
501,San Cristobal,VE,75.38,Clouds,7.7669,-72.225,Pirineos
504,Paraiso,CR,68.88,Clouds,9.8383,-83.8656,Hotel Rinconcito Verde
505,Kwakoa,TZ,65.23,Clouds,-3.7667,37.7167,MJI Mwema Lodge
506,Lagoa,PT,69.17,Clouds,39.05,-27.9833,Casa Das Faias
507,Beloha,MG,70.11,Clear,-25.1667,45.05,
508,Pathein,MM,82.36,Clouds,16.7833,94.7333,Pathein Hotel
509,Celestun,MX,80.08,Clear,20.8667,-90.4,Posada Lilia
510,Lisala,CD,69.91,Rain,2.15,21.5167,Guest house Eden
513,Odweyne,SO,73.29,Clouds,9.4092,45.064,Eng Hiirey House
514,Wanning,CN,76.05,Rain,18.8003,110.3967,Paradise Hotel
515,Mayo,US,68.11,Clouds,38.8876,-76.5119,Resorts Resource Group International
516,Mumbwa,ZM,71.73,Clouds,-14.9783,27.0619,Mumbwa Motel
523,Tiznit,MA,66.78,Clouds,29.5833,-9.5,
525,Pokhara,NP,73.54,Clear,28.2333,83.9833,OYO 170 Hotel View Point
527,Resistencia,AR,69.78,Clear,-27.4606,-58.9839,Niyat Urban Hotel
528,Bardiyah,LY,72.82,Clouds,31.7561,25.0865,بورتو بردية
530,Banikoara,BJ,70.5,Clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
534,Auka,HN,75.11,Clouds,14.9333,-83.8333,
535,Eirunepe,BR,75.97,Clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
538,Caucaia,BR,80.55,Clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
541,Naze,JP,83.32,Clouds,28.3667,129.4833,Shishime Hotel
542,Moussoro,TD,81.37,Rain,13.6408,16.4901,Pharmacie alnadja Moussoro
544,Pocone,BR,79.3,Clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
545,Alofi,NU,73.29,Clouds,-19.0595,-169.9187,Taloa Heights
546,Zhengjiatun,CN,72.57,Clear,43.5064,123.5064,Siping Hexiang Hotel
547,Kismayo,SO,75.69,Rain,-0.3582,42.5454,Agan-Hotel
548,Omboue,GA,74.55,Rain,-1.5746,9.2618,Hotel Olako
551,Iranshahr,IR,79.14,Clear,27.2025,60.6848,نیک سرشت
552,Kurtalan,TR,66.02,Clear,37.9272,41.7028,Kurtalan Öğretmenevi ve Akşam Sanat Okulu
