City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Nhamunda,BR,2022-09-22 01:28:14,-2.1861,-56.7131,81.0,50,45,1.54
119,Tual,ID,2022-09-22 01:27:32,-5.6667,132.75,81.09,82,100,17.36
120,Vila Velha,BR,2022-09-22 01:28:15,-20.3297,-40.2925,76.95,87,0,11.5
121,Monroe,US,2022-09-22 01:28:15,43.1501,-77.6831,76.24,77,40,5.75
122,Port Elizabeth,ZA,2022-09-22 01:27:28,-33.918,25.5701,52.09,93,0,3.44
123,Kudahuvadhoo,MV,2022-09-22 01:28:15,2.6708,72.8944,82.0,71,8,7.07
124,Tasiilaq,GL,2022-09-22 01:27:07,65.6145,-37.6368,35.76,80,8,4.72
125,Azanka,RU,2022-09-22 01:28:16,58.0401,64.7893,53.02,82,100,3.13
126,Elat,IL,2022-09-22 01:27:50,29.5581,34.9482,73.24,60,0,4.61
127,Tilichiki,RU,2022-09-22 01:28:16,60.4667,166.1,43.86,78,100,24.11
128,Terra Santa,BR,2022-09-22 01:28:16,-2.1042,-56.4869,81.55,49,45,2.89
129,Massakory,TD,2022-09-22 01:28:17,12.996,15.7293,83.08,68,9,4.76
130,Khatanga,RU,2022-09-22 01:28:17,71.9667,102.5,24.28,72,8,16.35
131,Terrell,US,2022-09-22 01:28:18,32.736,-96.2753,87.31,57,0,0.0
132,Lucapa,AO,2022-09-22 01:28:18,-8.4192,20.7447,68.47,89,100,1.79
133,Nanortalik,GL,2022-09-22 01:28:18,60.1432,-45.2371,43.79,71,100,2.59
134,Kifri,IQ,2022-09-22 01:28:18,34.6959,44.9661,81.73,34,82,10.22
135,New Norfolk,AU,2022-09-22 01:28:19,-42.7826,147.0587,67.87,50,3,3.71
136,Port-Cartier,CA,2022-09-22 01:27:09,50.0334,-66.8654,50.22,98,100,3.15
137,Conde,BR,2022-09-22 01:28:19,-7.2597,-34.9075,74.66,88,20,2.3
138,Cutervo,PE,2022-09-22 01:28:19,-6.379,-78.8157,53.92,80,100,2.13
139,Kodiak,US,2022-09-22 01:29:20,57.79,-152.4072,56.71,38,20,10.36
140,Fuling,CN,2022-09-22 01:29:20,29.7022,107.3919,65.93,96,100,1.21
141,Port Keats,AU,2022-09-22 01:29:21,-14.25,129.55,87.13,59,11,7.43
142,Tucurui,BR,2022-09-22 01:29:21,-3.7661,-49.6725,80.06,51,13,3.4
143,Oriximina,BR,2022-09-22 01:29:21,-1.7656,-55.8661,85.28,49,74,3.71
144,Kaitangata,NZ,2022-09-22 01:29:22,-46.2817,169.8464,56.43,62,10,5.48
145,Georgetown,MY,2022-09-22 01:29:22,5.4112,100.3354,80.89,82,40,9.22
146,Daru,PG,2022-09-22 01:27:23,-9.0763,143.2092,81.12,84,97,13.65
147,Yuzhno-Kurilsk,RU,2022-09-22 01:29:23,44.0306,145.8556,60.49,68,0,8.43
148,Phetchaburi,TH,2022-09-22 01:29:23,12.9667,99.5833,75.72,90,100,2.48
149,Bosaso,SO,2022-09-22 01:29:24,11.2842,49.1816,86.38,62,91,3.36
150,Cabedelo,BR,2022-09-22 01:29:24,-6.9811,-34.8339,75.87,84,0,10.22
151,Torbay,CA,2022-09-22 01:29:25,47.6666,-52.7314,56.26,85,100,16.11
152,Tiksi,RU,2022-09-22 01:26:31,71.6872,128.8694,33.31,98,100,13.09
153,Souillac,MU,2022-09-22 01:29:25,-20.5167,57.5167,70.18,94,75,13.8
154,Puerto Escondido,MX,2022-09-22 01:29:26,15.85,-97.0667,79.63,57,75,0.0
155,Prince Rupert,CA,2022-09-22 01:28:52,54.3161,-130.3201,66.29,62,0,2.3
156,Esperance,AU,2022-09-22 01:29:26,-33.8667,121.9,56.62,64,100,13.98
157,Svetlogorsk,BY,2022-09-22 01:29:26,52.6333,29.7333,46.56,95,100,8.14
158,Mirnyy,RU,2022-09-22 01:29:27,62.5353,113.9611,28.24,63,100,4.0
159,Kattivakkam,IN,2022-09-22 01:29:28,13.2167,80.3167,82.49,73,96,13.73
160,Moron,AR,2022-09-22 01:29:28,-34.6534,-58.6198,58.75,69,100,3.2
161,Sumter,US,2022-09-22 01:29:28,28.7086,-82.0831,80.1,82,0,10.47
162,Marawi,PH,2022-09-22 01:29:29,7.9986,124.2928,76.91,73,96,2.01
163,Christchurch,NZ,2022-09-22 01:28:29,-43.5333,172.6333,60.42,65,26,8.05
164,Nalut,LY,2022-09-22 01:29:29,30.3333,10.85,79.0,60,9,18.1
165,Hasaki,JP,2022-09-22 01:29:09,35.7333,140.8333,72.28,68,96,17.96
166,Narsaq,GL,2022-09-22 01:29:29,60.9167,-46.05,39.42,62,100,2.93
167,Ancud,CL,2022-09-22 01:29:30,-41.8697,-73.8203,47.23,90,100,14.05
168,Birao,CF,2022-09-22 01:29:30,10.2849,22.7882,72.32,89,79,1.05
169,Codrington,AU,2022-09-22 01:29:30,-38.2667,141.9667,58.66,80,96,3.74
170,Prado,BR,2022-09-22 01:29:31,-17.3411,-39.2208,73.96,85,79,13.2
171,Oussouye,SN,2022-09-22 01:28:36,12.485,-16.5469,76.24,91,100,5.7
172,Kindu,CD,2022-09-22 01:29:31,-2.95,25.95,70.75,96,100,0.58
173,Gamba,GA,2022-09-22 01:29:31,-2.65,10.0,74.59,87,100,4.47
174,Moree,AU,2022-09-22 01:29:32,-29.4667,149.85,67.1,61,14,7.67
175,Fortuna,US,2022-09-22 01:29:32,40.5982,-124.1573,63.09,84,84,2.84
176,Ponta Delgada,PT,2022-09-22 01:29:33,37.7333,-25.6667,70.52,88,20,2.3
177,Siuna,NI,2022-09-22 01:29:33,13.7332,-84.7773,74.03,94,100,0.94
178,Sur,OM,2022-09-22 01:29:33,22.5667,59.5289,80.98,71,0,9.4
179,Coquimbo,CL,2022-09-22 01:29:34,-29.9533,-71.3436,55.13,62,0,8.05
180,Asau,RO,2022-09-22 01:29:34,46.4333,26.4,45.52,91,86,3.6
181,Komsomolskiy,UZ,2022-09-22 01:29:34,40.4272,71.7189,65.12,45,0,0.0
182,Tukrah,LY,2022-09-22 01:29:34,32.5341,20.5791,75.69,71,72,15.59
183,Mehamn,NO,2022-09-22 01:29:38,71.0357,27.8492,48.15,100,100,11.5
184,Puri,IN,2022-09-22 01:30:38,19.8,85.85,79.32,75,66,10.94
185,Tashtagol,RU,2022-09-22 01:30:39,52.7657,87.8894,53.38,64,68,2.01
186,Cherskiy,RU,2022-09-22 01:30:39,68.75,161.3,47.5,47,3,6.42
187,Paita,PE,2022-09-22 01:30:39,-5.0892,-81.1144,63.18,83,29,16.46
188,Lachute,CA,2022-09-22 01:27:19,45.6501,-74.3325,64.45,96,100,2.84
189,Flin Flon,CA,2022-09-22 01:30:40,54.7682,-101.865,41.4,77,16,4.38
190,Ponta Do Sol,PT,2022-09-22 01:30:40,32.6667,-17.1,74.03,85,8,3.67
